cp,id_estado,id_municipio
7000,9,7
7010,9,7
7020,9,7
7040,9,7
7050,9,7
7058,9,7
7060,9,7
7069,9,7
7070,9,7
7080,9,7
7089,9,7
7090,9,7
7100,9,7
7109,9,7
7110,9,7
7119,9,7
7130,9,7
7140,9,7
7144,9,7
7149,9,7
7150,9,7
7160,9,7
7164,9,7
7170,9,7
7180,9,7
7183,9,7
7187,9,7
7188,9,7
7189,9,7
7190,9,7
7199,9,7
7200,9,7
7207,9,7
7209,9,7
7210,9,7
7214,9,7
7220,9,7
7224,9,7
7230,9,7
7239,9,7
7240,9,7
7250,9,7
7259,9,7
7268,9,7
7270,9,7
7279,9,7
7280,9,7
7290,9,7
7300,9,7
7310,9,7
7320,9,7
7330,9,7
7340,9,7
7350,9,7
7359,9,7
7360,9,7
7369,9,7
7370,9,7
7380,9,7
7400,9,7
7410,9,7
7420,9,7
7430,9,7
7440,9,7
7450,9,7
7455,9,7
7456,9,7
7460,9,7
7469,9,7
7470,9,7
7480,9,7
7500,9,7
7509,9,7
7510,9,7
7520,9,7
7530,9,7
7540,9,7
7550,9,7
7560,9,7
7570,9,7
7580,9,7
7600,9,7
7620,9,7
7630,9,7
7640,9,7
7650,9,7
7670,9,7
7680,9,7
7700,9,7
7707,9,7
7708,9,7
7720,9,7
7730,9,7
7739,9,7
7740,9,7
7750,9,7
7754,9,7
7755,9,7
7760,9,7
7770,9,7
7780,9,7
7790,9,7
7800,9,7
7810,9,7
7820,9,7
7830,9,7
7838,9,7
7839,9,7
7840,9,7
7850,9,7
7858,9,7
7859,9,7
7860,9,7
7869,9,7
7870,9,7
7880,9,7
7889,9,7
7890,9,7
7899,9,7
7900,9,7
7910,9,7
7918,9,7
7919,9,7
7920,9,7
7930,9,7
7939,9,7
7940,9,7
7950,9,7
7960,9,7
7969,9,7
7970,9,7
7979,9,7
7980,9,7
7990,9,7
8000,9,8
8010,9,8
8020,9,8
8030,9,8
8040,9,8
8100,9,8
8200,9,8
8210,9,8
8220,9,8
8230,9,8
8240,9,8
8300,9,8
8310,9,8
8320,9,8
8400,9,8
8420,9,8
8500,9,8
8510,9,8
8600,9,8
8610,9,8
8620,9,8
8650,9,8
8700,9,8
8710,9,8
8720,9,8
8730,9,8
8760,9,8
8770,9,8
8800,9,8
8810,9,8
8830,9,8
8840,9,8
8900,9,8
8910,9,8
8920,9,8
8930,9,8
9000,9,9
9010,9,9
9020,9,9
9030,9,9
9040,9,9
9060,9,9
9070,9,9
9080,9,9
9089,9,9
9090,9,9
9099,9,9
9100,9,9
9130,9,9
9140,9,9
9180,9,9
9200,9,9
9208,9,9
9209,9,9
9210,9,9
9220,9,9
9230,9,9
9239,9,9
9240,9,9
9250,9,9
9260,9,9
9270,9,9
9280,9,9
9290,9,9
9300,9,9
9310,9,9
9319,9,9
9320,9,9
9350,9,9
9359,9,9
9360,9,9
9400,9,9
9410,9,9
9420,9,9
9429,9,9
9430,9,9
9438,9,9
9440,9,9
9450,9,9
9460,9,9
9470,9,9
9479,9,9
9480,9,9
9500,9,9
9510,9,9
9520,9,9
9530,9,9
9550,9,9
9560,9,9
9570,9,9
9578,9,9
9600,9,9
9608,9,9
9609,9,9
9620,9,9
9630,9,9
9637,9,9
9638,9,9
9640,9,9
9648,9,9
9660,9,9
9670,9,9
9680,9,9
9689,9,9
9690,9,9
9696,9,9
9698,9,9
9700,9,9
9704,9,9
9705,9,9
9706,9,9
9708,9,9
9709,9,9
9710,9,9
9720,9,9
9730,9,9
9740,9,9
9750,9,9
9760,9,9
9769,9,9
9770,9,9
9780,9,9
9790,9,9
9800,9,9
9810,9,9
9819,9,9
9820,9,9
9828,9,9
9829,9,9
9830,9,9
9837,9,9
9838,9,9
9839,9,9
9840,9,9
9849,9,9
9850,9,9
9856,9,9
9858,9,9
9859,9,9
9860,9,9
9868,9,9
9870,9,9
9880,9,9
9890,9,9
9897,9,9
9900,9,9
9910,9,9
9920,9,9
9930,9,9
9940,9,9
9960,9,9
9969,9,9
9970,9,9
10000,9,10
10010,9,10
10020,9,10
10130,9,10
10200,9,10
10300,9,10
10320,9,10
10330,9,10
10340,9,10
10350,9,10
10360,9,10
10368,9,10
10369,9,10
10370,9,10
10378,9,10
10379,9,10
10380,9,10
10400,9,10
10500,9,10
10580,9,10
10600,9,10
10610,9,10
10620,9,10
10630,9,10
10640,9,10
10660,9,10
10700,9,10
10710,9,10
10800,9,10
10810,9,10
10820,9,10
10830,9,10
10840,9,10
10900,9,10
10910,9,10
10920,9,10
10926,9,10
11000,9,11
11040,9,11
11100,9,11
11200,9,11
11210,9,11
11220,9,11
11230,9,11
11240,9,11
11250,9,11
11260,9,11
11270,9,11
11280,9,11
11289,9,11
11290,9,11
11300,9,11
11310,9,11
11320,9,11
11330,9,11
11340,9,11
11350,9,11
11360,9,11
11370,9,11
11400,9,11
11410,9,11
11420,9,11
11430,9,11
11440,9,11
11450,9,11
11460,9,11
11470,9,11
11480,9,11
11489,9,11
11490,9,11
11500,9,11
11510,9,11
11520,9,11
11529,9,11
11530,9,11
11540,9,11
11550,9,11
11560,9,11
11570,9,11
11580,9,11
